ISO3,item_name,band_name,deltaE_mean,deltaE_mean_sem,unit,pixel_count,physical_area_km2,sp_count
FIN,OPUL,all,-5.23E-11,3.48E-13,deltaE per km2 per sp.,3761,42.23300009,31076
GAB,OPUL,all,-2.88E-09,3.39E-10,deltaE per km2 per sp.,573,2.089000012,31076
GMB,OPUL,all,-1.89E-09,1.66E-11,deltaE per km2 per sp.,126,104.4169998,31076
MAR,OPUL,all,-1.51E-09,7.44E-11,deltaE per km2 per sp.,2187,2739.113003,31076
MOZ,OPUL,all,-5.47E-09,4.15E-10,deltaE per km2 per sp.,2888,3087.446997,31076
NAM,OPUL,all,-1.69E-09,7.47E-11,deltaE per km2 per sp.,891,170.1629998,31076
GEO,OPUL,all,-9.33E-10,1.18E-10,deltaE per km2 per sp.,162,1.122000002,31076
DEU,OPUL,all,-1.54E-10,1.12E-12,deltaE per km2 per sp.,5548,938.9929995,31076
GHA,OPUL,all,-1.37E-09,1.40E-10,deltaE per km2 per sp.,1476,2436.517998,31076
GRC,OPUL,all,-1.59E-09,2.16E-10,deltaE per km2 per sp.,1616,112.6469999,31076
GRL,OPUL,all,,,deltaE per km2 per sp.,,,31076
GRD,OPUL,all,-3.45E-07,0,deltaE per km2 per sp.,1,0.721999969,31076
NRU,OPUL,all,,,deltaE per km2 per sp.,,,31076
GTM,OPUL,all,-5.07E-08,5.95E-09,deltaE per km2 per sp.,54,246.6740009,31076
NPL,OPUL,all,-6.93E-09,5.87E-10,deltaE per km2 per sp.,538,367.9130005,31076
GIN,OPUL,all,-6.06E-09,9.36E-10,deltaE per km2 per sp.,2577,652.7450016,31076
GNB,OPUL,all,-1.78E-09,5.20E-11,deltaE per km2 per sp.,363,36.73799984,31076
GUY,OPUL,all,-3.15E-09,3.80E-10,deltaE per km2 per sp.,428,9.809999985,31076
HTI,OPUL,all,,,deltaE per km2 per sp.,,,31076
JOR,OPUL,all,-7.72E-09,4.74E-09,deltaE per km2 per sp.,79,17.05099998,31076
HND,OPUL,all,,,deltaE per km2 per sp.,,,31076
HUN,OPUL,all,-1.31E-10,1.72E-12,deltaE per km2 per sp.,1224,186.7099995,31076
ISL,OPUL,all,,,deltaE per km2 per sp.,,,31076
IDN,OPUL,all,-3.86E-08,5.39E-09,deltaE per km2 per sp.,824,21.79900011,31076
IRN,OPUL,all,-8.39E-10,1.99E-10,deltaE per km2 per sp.,5756,1601.838999,31076
IRQ,OPUL,all,-5.40E-10,1.66E-11,deltaE per km2 per sp.,1894,54.65400002,31076
IRL,OPUL,all,-3.69E-11,2.88E-13,deltaE per km2 per sp.,1177,9.265000038,31076
KAZ,OPUL,all,-1.74E-10,2.98E-12,deltaE per km2 per sp.,15250,661.4040003,31076
KEN,OPUL,all,-7.27E-09,7.11E-10,deltaE per km2 per sp.,796,727.2620017,31076
KIR,OPUL,all,,,deltaE per km2 per sp.,,,31076
PRK,OPUL,all,,,deltaE per km2 per sp.,,,31076
KOR,OPUL,all,-2.18E-09,1.97E-10,deltaE per km2 per sp.,950,54.893,31076
XKX,OPUL,all,-4.85E-10,1.67E-11,deltaE per km2 per sp.,70,1.807999983,31076
SRB,OPUL,all,-2.65E-10,3.88E-12,deltaE per km2 per sp.,758,88.22599991,31076
SYC,OPUL,all,,,deltaE per km2 per sp.,,,31076
SLE,OPUL,all,-5.72E-09,1.21E-10,deltaE per km2 per sp.,852,1160.870001,31076
SGP,OPUL,all,,,deltaE per km2 per sp.,,,31076
ITA,OPUL,all,-8.86E-10,1.60E-11,deltaE per km2 per sp.,3561,712.7900012,31076
JAM,OPUL,all,-9.50E-08,5.56E-09,deltaE per km2 per sp.,126,7.112999892,31076
JPN,OPUL,all,-1.08E-08,5.61E-09,deltaE per km2 per sp.,312,5.624000001,31076
KGZ,OPUL,all,-3.90E-10,7.25E-11,deltaE per km2 per sp.,355,18.56900007,31076
LAO,OPUL,all,-6.00E-09,4.12E-10,deltaE per km2 per sp.,878,150.5750003,31076
LVA,OPUL,all,-1.04E-10,1.44E-12,deltaE per km2 per sp.,1268,13.76800007,31076
LBN,OPUL,all,-4.86E-09,3.07E-10,deltaE per km2 per sp.,109,21.28300016,31076
LSO,OPUL,all,-2.96E-09,6.16E-11,deltaE per km2 per sp.,97,18.447,31076
LBR,OPUL,all,-8.85E-09,2.76E-10,deltaE per km2 per sp.,836,49.62500005,31076
LBY,OPUL,all,-3.31E-11,4.24E-11,deltaE per km2 per sp.,759,42.10300001,31076
LIE,OPUL,all,,,deltaE per km2 per sp.,,,31076
LTU,OPUL,all,-1.26E-10,1.50E-12,deltaE per km2 per sp.,1274,450.8109997,31076
LUX,OPUL,all,-1.90E-10,1.46E-12,deltaE per km2 per sp.,46,3.003,31076
MCO,OPUL,all,,,deltaE per km2 per sp.,,,31076
MNG,OPUL,all,-3.02E-10,5.35E-12,deltaE per km2 per sp.,124,13.49199998,31076
MNE,OPUL,all,-9.50E-10,1.15E-10,deltaE per km2 per sp.,57,5.483000027,31076
MKD,OPUL,all,-6.26E-10,2.71E-11,deltaE per km2 per sp.,169,40.91199989,31076
MDG,OPUL,all,-1.19E-08,3.04E-09,deltaE per km2 per sp.,266,228.6239997,31076
MWI,OPUL,all,-4.58E-09,8.58E-10,deltaE per km2 per sp.,638,400.9969984,31076
