ISO3,item_name,band_name,data_mean,data_mean_sem,unit,pixel_count,physical_area_km2
SOM,RCOF,median,,,tonnes carbon per km2,,
ZAF,RCOF,median,,,tonnes carbon per km2,,
SSD,RCOF,median,,,tonnes carbon per km2,,
ESP,RCOF,median,,,tonnes carbon per km2,,
LKA,RCOF,median,0.47092868556092127,0.025371353637523186,tonnes carbon per km2,547.0,57.92599983341992
KNA,RCOF,median,,,tonnes carbon per km2,,
LCA,RCOF,median,,,tonnes carbon per km2,,
VCT,RCOF,median,,,tonnes carbon per km2,,
SDN,RCOF,median,,,tonnes carbon per km2,,
SUR,RCOF,median,,,tonnes carbon per km2,,
SWZ,RCOF,median,,,tonnes carbon per km2,,
SWE,RCOF,median,,,tonnes carbon per km2,,
CHE,RCOF,median,,,tonnes carbon per km2,,
SYR,RCOF,median,,,tonnes carbon per km2,,
TWN,RCOF,median,0.2861582826261409,0.03499082673065332,tonnes carbon per km2,325.0,11.083999948054553
TJK,RCOF,median,,,tonnes carbon per km2,,
TZA,RCOF,median,0.36836426527485877,0.024012746801847673,tonnes carbon per km2,2136.0,884.7329995326697
THA,RCOF,median,0.055903234210528716,0.00843316062577647,tonnes carbon per km2,1728.0,320.0500010444224
TLS,RCOF,median,,,tonnes carbon per km2,,
TGO,RCOF,median,0.3800041425365251,0.03010823158443371,tonnes carbon per km2,313.0,407.0429990053177
TUV,RCOF,median,,,tonnes carbon per km2,,
UGA,RCOF,median,0.22057271721943067,0.009375747731470638,tonnes carbon per km2,1010.0,2716.2730003324896
URY,RCOF,median,,,tonnes carbon per km2,,
UZB,RCOF,median,,,tonnes carbon per km2,,
VUT,RCOF,median,,,tonnes carbon per km2,,
VAT,RCOF,median,,,tonnes carbon per km2,,
VEN,RCOF,median,,,tonnes carbon per km2,,
VNM,RCOF,median,0.08398436468302381,0.003760449968336705,tonnes carbon per km2,3734.0,6023.7740062714365
ZMB,RCOF,median,0.08904474822482639,0.14248557363635914,tonnes carbon per km2,6.0,0.005000000149011612
ZWE,RCOF,median,,,tonnes carbon per km2,,
YEM,RCOF,median,,,tonnes carbon per km2,,
UKR,RCOF,median,,,tonnes carbon per km2,,
BHR,RCOF,median,,,tonnes carbon per km2,,
KWT,RCOF,median,,,tonnes carbon per km2,,
QAT,RCOF,median,,,tonnes carbon per km2,,
ARE,RCOF,median,,,tonnes carbon per km2,,
TUR,RCOF,median,,,tonnes carbon per km2,,
ISR,RCOF,median,,,tonnes carbon per km2,,
BGD,RCOF,median,0.39698147773742676,0.15344694456378097,tonnes carbon per km2,2.0,0.004000000059604645
MMR,RCOF,median,0.05951735633506922,0.0007024522680759593,tonnes carbon per km2,6445.0,28.58700003013014
IND,RCOF,median,0.22180476716458314,0.008152260049693239,tonnes carbon per km2,4386.0,2106.01499996379
BEN,RCOF,median,0.0757036860399542,0.012857536764966896,tonnes carbon per km2,31.0,2.7670000000298027
NER,RCOF,median,0.03164109909165372,0.015191501463276339,tonnes carbon per km2,6.0,0.020000000074505805
NGA,RCOF,median,0.1973634546727337,0.00983696265319066,tonnes carbon per km2,5057.0,14.154000107198955
111,RCOF,median,,,tonnes carbon per km2,,
112,RCOF,median,,,tonnes carbon per km2,,
113,RCOF,median,,,tonnes carbon per km2,,
114,RCOF,median,,,tonnes carbon per km2,,
115,RCOF,median,,,tonnes carbon per km2,,
116,RCOF,median,,,tonnes carbon per km2,,
117,RCOF,median,,,tonnes carbon per km2,,
118,RCOF,median,,,tonnes carbon per km2,,
